t,h_ft,vc_kts,theta_deg,phi_deg,alpha_deg,nz,elev_cmd
3.7667,3256.2419,77.6522,22.4627,-10.4899,3.2428,1.0517,0
3.8,3257.7467,77.4493,22.5123,-10.5996,3.2494,1.0473,0
3.8333,3259.2507,77.2464,22.5601,-10.7094,3.2561,1.0429,0
3.8667,3260.7537,77.0434,22.6062,-10.8193,3.2629,1.0386,0
3.9,3262.2555,76.8403,22.6505,-10.9293,3.2697,1.0342,0
3.9333,3263.7559,76.6371,22.693,-11.0393,3.2765,1.0298,0
3.9667,3265.2549,76.4339,22.7337,-11.1495,3.2834,1.0255,0
4,3266.7522,76.2307,22.7726,-11.2596,3.2904,1.0211,0
4.0333,3268.2477,76.0276,22.8097,-11.3699,3.2974,1.0168,0
4.0667,3269.7413,75.8244,22.845,-11.4802,3.3045,1.0125,0
4.1,3271.2327,75.6213,22.8785,-11.5905,3.3117,1.0082,0
4.1333,3272.7219,75.4182,22.9102,-11.7009,3.3189,1.0039,0
4.1667,3274.2086,75.2152,22.94,-11.8113,3.3261,0.9996,0
4.2,3275.6928,75.0123,22.9679,-11.9217,3.3335,0.9954,0
4.2333,3277.1743,74.8095,22.994,-12.0321,3.3409,0.9911,0
4.2667,3278.6529,74.6069,23.0183,-12.1426,3.3483,0.9869,0
4.3,3280.1285,74.4044,23.0406,-12.2531,3.3559,0.9827,0
4.3333,3281.6009,74.2021,23.0611,-12.3635,3.3634,0.9785,0
4.3667,3283.07,74,23.0796,-12.474,3.3711,0.9743,0
4.4,3284.5357,73.7981,23.0963,-12.5845,3.3788,0.9701,0
4.4333,3285.9977,73.5964,23.111,-12.695,3.3866,0.966,0
4.4667,3287.456,73.395,23.1238,-12.8055,3.3944,0.9619,0
4.5,3288.9105,73.1939,23.1347,-12.916,3.4023,0.9578,0
4.5333,3290.3609,72.993,23.1436,-13.0264,3.4103,0.9537,0
4.5667,3291.8072,72.7925,23.1506,-13.1369,3.4183,0.9496,0
4.6,3293.2491,72.5923,23.1556,-13.2474,3.4263,0.9455,0
4.6333,3294.6866,72.3924,23.1586,-13.3578,3.4345,0.9415,0
4.6667,3296.1195,72.1929,23.1596,-13.4683,3.4427,0.9375,0
4.7,3297.5478,71.9938,23.1587,-13.5787,3.4509,0.9335,0
4.7333,3298.9711,71.7951,23.1557,-13.6891,3.4592,0.9295,0
4.7667,3300.3895,71.5968,23.1508,-13.7995,3.4676,0.9255,0
4.8,3301.8027,71.399,23.1438,-13.9099,3.476,0.9216,0
4.8333,3303.2108,71.2017,23.1347,-14.0203,3.4845,0.9177,0
4.8667,3304.6134,71.0048,23.1237,-14.1307,3.493,0.9138,0
4.9,3306.0105,70.8085,23.1106,-14.241,3.5016,0.9099,0
4.9333,3307.4019,70.6126,23.0954,-14.3514,3.5102,0.906,0
4.9667,3308.7876,70.4174,23.0782,-14.4617,3.5189,0.9022,0
5,3310.1674,70.2227,23.0589,-14.572,3.5277,0.8984,0
5.0333,3311.5412,70.0286,23.0375,-14.6823,3.5364,0.8946,0
5.0667,3312.9088,69.8351,23.0141,-14.7925,3.5453,0.8908,0
5.1,3314.2702,69.6422,22.9885,-14.9027,3.5542,0.8871,0
5.1333,3315.6251,69.45,22.9609,-15.0129,3.5631,0.8834,0
5.1667,3316.9736,69.2584,22.9311,-15.1231,3.5721,0.8797,0
5.2,3318.3154,69.0676,22.8993,-15.2333,3.5811,0.876,0
5.2333,3319.6504,68.8775,22.8653,-15.3434,3.5902,0.8723,0
5.2667,3320.9785,68.6881,22.8292,-15.4535,3.5993,0.8687,0
5.3,3322.2997,68.4994,22.7909,-15.5635,3.6084,0.8651,0
5.3333,3323.6137,68.3115,22.7505,-15.6736,3.6176,0.8615,0
5.3667,3324.9205,68.1245,22.708,-15.7836,3.6268,0.858,0
5.4,3326.22,67.9382,22.6633,-15.8935,3.6361,0.8544,0
5.4333,3327.512,67.7528,22.6165,-16.0034,3.6454,0.8509,0
5.4667,3328.7965,67.5683,22.5675,-16.1132,3.6548,0.8475,0
5.5,3330.0732,67.3846,22.5164,-16.223,3.6642,0.844,0
5.5333,3331.3422,67.2018,22.4631,-16.3328,3.6736,0.8406,0
5.5667,3332.6032,67.02,22.4076,-16.4424,3.683,0.8372,0
5.6,3333.8563,66.839,22.3499,-16.5521,3.6925,0.8338,0
5.6333,3335.1012,66.6591,22.2901,-16.6616,3.702,0.8305,0
5.6667,3336.3379,66.4801,22.2281,-16.7711,3.7115,0.8272,0
5.7,3337.5663,66.3022,22.1639,-16.8805,3.7211,0.8239,0
5.7333,3338.7862,66.1253,22.0975,-16.9898,3.7307,0.8206,0
5.7667,3339.9976,65.9493,22.0289,-17.099,3.7403,0.8174,0
5.8,3341.2003,65.7745,21.9582,-17.2081,3.7499,0.8142,0
5.8333,3342.3943,65.6006,21.8852,-17.3172,3.7595,0.811,0
5.8667,3343.5795,65.4278,21.81,-17.4261,3.7692,0.8078,0
5.9,3344.7557,65.2562,21.7326,-17.5349,3.7788,0.8047,0
5.9333,3345.9229,65.0856,21.653,-17.6436,3.7885,0.8016,0
5.9667,3347.0809,64.9162,21.5711,-17.7522,3.7981,0.7985,0
6,3348.2296,64.7479,21.4871,-17.8606,3.8077,0.7955,0
6.0333,3349.3691,64.5808,21.4008,-17.9689,3.8174,0.7924,0
6.0667,3350.4991,64.4149,21.3123,-18.0771,3.827,0.7895,0
6.1,3351.6195,64.2503,21.2215,-18.1851,3.8366,0.7865,0
6.1333,3352.7304,64.0868,21.1286,-18.293,3.8462,0.7835,0
6.1667,3353.8315,63.9247,21.0334,-18.4006,3.8558,0.7806,0
6.2,3354.9229,63.7638,20.936,-18.5081,3.8654,0.7778,0
6.2333,3356.0043,63.6043,20.8364,-18.6155,3.8749,0.7749,0
6.2667,3357.0757,63.4461,20.7345,-18.7226,3.8845,0.7721,0
6.3,3358.1371,63.2892,20.6304,-18.8295,3.894,0.7693,0
6.3333,3359.1883,63.1337,20.5242,-18.9363,3.9035,0.7665,0
6.3667,3360.2292,62.9797,20.4157,-19.0428,3.913,0.7638,0
6.4,3361.2599,62.827,20.305,-19.1491,3.9224,0.7611,0
6.4333,3362.28,62.6758,20.1921,-19.2552,3.9319,0.7584,0
6.4667,3363.2897,62.526,20.077,-19.361,3.9413,0.7558,0
6.5,3364.2888,62.3777,19.9597,-19.4666,3.9507,0.7532,0
6.5333,3365.2773,62.231,19.8403,-19.572,3.96,0.7506,0
6.5667,3366.255,62.0857,19.7186,-19.6771,3.9693,0.748,0
6.6,3367.2218,61.9421,19.5948,-19.782,3.9786,0.7455,0
6.6333,3368.1778,61.7999,19.4688,-19.8865,3.9878,0.7431,0
6.6667,3369.1228,61.6594,19.3406,-19.9908,3.997,0.7406,0
6.7,3370.0567,61.5205,19.2102,-20.0949,4.0061,0.7382,0
6.7333,3370.9795,61.3832,19.0777,-20.1986,4.0152,0.7358,0
6.7667,3371.891,61.2476,18.9431,-20.302,4.0243,0.7335,0
6.8,3372.7913,61.1136,18.8063,-20.4052,4.0332,0.7312,0
6.8333,3373.6802,60.9813,18.6674,-20.508,4.0422,0.7289,0
6.8667,3374.5577,60.8507,18.5263,-20.6105,4.051,0.7266,0
6.9,3375.4237,60.7219,18.3832,-20.7127,4.0598,0.7244,0
6.9333,3376.2782,60.5948,18.2379,-20.8146,4.0686,0.7222,0
6.9667,3377.121,60.4695,18.0906,-20.9161,4.0773,0.7201,0
7,3377.9521,60.3459,17.9411,-21.0173,4.0859,0.718,0
7.0333,3378.7714,60.2242,17.7896,-21.1181,4.0944,0.7159,0
7.0667,3379.5789,60.1043,17.636,-21.2186,4.1028,0.7139,0
7.1,3380.3744,59.9863,17.4804,-21.3188,4.1112,0.7119,0
7.1333,3381.1581,59.8701,17.3227,-21.4185,4.1195,0.7099,0
7.1667,3381.9297,59.7558,17.163,-21.5179,4.1276,0.708,0
7.2,3382.6892,59.6434,17.0012,-21.617,4.1357,0.7061,0
7.2333,3383.4365,59.533,16.8375,-21.7156,4.1436,0.7042,0
7.2667,3384.1717,59.4245,16.6717,-21.8139,4.1515,0.7024,0
7.3,3384.8945,59.3179,16.5039,-21.9118,4.1592,0.7006,0
7.3333,3385.6051,59.2134,16.3342,-22.0093,4.1668,0.6988,0
7.3667,3386.3032,59.1108,16.1625,-22.1064,4.1743,0.6971,0
7.4,3386.989,59.0103,15.9888,-22.2031,4.1817,0.6954,0
7.4333,3387.6622,58.9118,15.8132,-22.2994,4.1889,0.6937,0
7.4667,3388.3229,58.8154,15.6357,-22.3952,4.196,0.6921,0
7.5,3388.971,58.7211,15.4563,-22.4907,4.2029,0.6905,0
7.5333,3389.6064,58.6288,15.2749,-22.5858,4.2097,0.6889,0
7.5667,3390.2291,58.5387,15.0917,-22.6804,4.2163,0.6874,0
7.6,3390.8391,58.4507,14.9066,-22.7746,4.2228,0.6859,0
7.6333,3391.4362,58.3648,14.7197,-22.8684,4.2291,0.6845,0
7.6667,3392.0205,58.2811,14.531,-22.9618,4.2353,0.683,0
7.7,3392.5919,58.1995,14.3404,-23.0547,4.2412,0.6817,0
7.7333,3393.1504,58.1202,14.1481,-23.1472,4.247,0.6803,0
7.7667,3393.6958,58.0431,13.954,-23.2393,4.2526,0.679,0
7.8,3394.2283,57.9681,13.7581,-23.3309,4.2581,0.6777,0
7.8333,3394.7476,57.8955,13.5605,-23.4221,4.2633,0.6765,0
7.8667,3395.2538,57.825,13.3612,-23.5128,4.2684,0.6753,0
7.9,3395.7468,57.7569,13.1602,-23.6031,4.2732,0.6741,0
7.9333,3396.2266,57.691,12.9575,-23.693,4.2779,0.6729,0
7.9667,3396.6931,57.6275,12.7531,-23.7824,4.2823,0.6718,0
